store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Folsom,229,225 Placerville Rd.,,Folsom,CA,95630,US,,38.64672,-121.11442,,,
Sacramento (Truxel),131,3501 Truxel Road,,Sacramento,CA,95834,US,,38.63683,-121.50424,,,
Modesto,90,3900 Pelandale Ave.,,Modesto,CA,95356,US,,37.6998,-121.06759,,,
Davis,127,1020 Olive Drive,,Davis,CA,95616,US,,38.54097,-121.73722,,,
Sacramento (Del Paso),213,2900 Del Paso Rd.,,Sacramento,CA,95834,US,,38.65535,-121.52592,,,
Modesto,285,1616 Sisk Rd.,,Modesto,CA,95350,US,,37.66949,-121.0356,,,
Vacaville,103,170 Nut Tree Pkwy.,,Vacaville,CA,95687,US,,38.36646,-121.96114,,,
Pleasant Hill,274,570 Contra Costa Blvd.,,Pleasant Hill,CA,94523,US,,37.97606,-122.06558,,,
San Ramon,118,2270 San Ramon Valley,,San Ramon,CA,94583,US,,37.77914,-121.97702,,,
Oakland,193,8300 Oakport St.,,Oakland,CA,94621,US,,37.74037,-122.1984,,,
Alameda,303,555 Willie Stargell Ave.,,Alameda,CA,94501,US,,37.78372,-122.27728,,,
Pinole,120,1417 Fitzgerald Dr.,,Pinole,CA,94564,US,,37.98907,-122.31071,,,
Palmdale,79,142 E Palmdale Blvd.,,Palmdale,CA,93550,US,,34.57934,-118.12803,,,
Lancaster,43,"""2021 W. Avenue """"I""""""",,Lancaster,CA,93536,US,,34.70441,-118.16698,,,
Santa Clarita (Sand Canyon),107,28368 Sand Canyon Rd.,,Santa Clarita,CA,91351,US,,34.42368,-118.42316,,,
Tujunga,16,6225 Foothill Blvd.,,Tujunga,CA,91042,US,,34.24106,-118.26655,,,
Santa Clarita (Bouquet Canyon),171,26401 Bouquet Canyon Rd.,,Santa Clarita,CA,91350,US,,34.42546,-118.53924,,,
San Fernando,12,11455 Laurel Canyon Blvd.,,San Fernando,CA,91340,US,,34.27802,-118.45306,,,
Burbank,110,761 First Street,,Burbank,CA,91502,US,,34.18497,-118.31607,,,
Newhall,53,25220 N. The Old Road,,Newhall,CA,91381,US,,34.37714,-118.56538,,,
Panorama City,10,13651 Roscoe Blvd.,,Panorama City,CA,91402,US,,34.22201,-118.43073,,,
Pasadena,5,2114 E. Foothill,,Pasadena,CA,91107,US,,34.14948,-118.1068,,,
Glendale (Harvey & Holly),157,310 N. Harvey Dr.,,Glendale,CA,91206,US,,34.14868,-118.22735,,,
Glendale (Brand & Broadway),174,119 S. Brand Blvd.,,Glendale,CA,91204,US,,34.1456,-118.25545,,,
Van Nuys,134,7930 Van Nuys Blvd.,,Van Nuys,CA,91402,US,,34.21504,-118.44821,,,
North Hollywood,9,5864 Lankershim Blvd,,N. Hollywood,CA,91601,US,,34.17746,-118.38194,,,
Northridge (Balboa & Lassen),35,9858 Balboa Blvd.,,Northridge,CA,91325,US,,34.25,-118.50196,,,
Arcadia,27,420 N. Santa Anita,,Arcadia,CA,91006,US,,34.14532,-118.03124,,,
Alhambra,121,1210 N. Atlantic Blvd.,,Alhambra,CA,91801,US,,34.10603,-118.13437,,,
Studio City,111,3640 Cahuenga Blvd.,,Los Angeles,CA,90068,US,,34.13508,-118.36062,,,
Porter Ranch,178,19901 Rinaldi St.,,Porter Ranch,CA,91326,US,,34.2758,-118.56807,,,
Van Nuys (Balboa),196,7220 N. Balboa,,Van Nuys,CA,91406,US,,34.20186,-118.5007,,,
Northridge (Tampa Ave.),208,8830 Tampa Ave.,,Northridge,CA,91324,US,,34.23079,-118.55324,,,
Sherman Oaks,85,4444 Van Nuys Blvd.,,Sherman Oaks,CA,91403,US,,34.1521,-118.44831,,,
Temple City,13,10601 Lower Azusa Rd.,,Temple City,CA,91780,US,,34.09244,-118.03846,,,
Rosemead,20,4242 N. Rosemead Blvd.,,Rosemead,CA,91770,US,,34.08397,-118.07301,,,
Hollywood,102,7009 Sunset Blvd.,,Hollywood,CA,90028,US,,34.09822,-118.34171,,,
Victorville,233,15290 Civic Drive,,Victorville,CA,92394,US,,34.52112,-117.32202,,,
Hesperia (Bear Valley Rd.),72,17069 Bear Valley Rd.,,Hesperia,CA,92345,US,,34.4705,-117.29092,,,
Hesperia (Main St.),29,13074 Main St.,,Hesperia,CA,92345,US,,34.42713,-117.37809,,,
Barstow,56,2821 Lenwood Rd.,,Barstow,CA,92311,US,,34.85006,-117.08238,,,
Rialto,286,108 E. Easton St.,,Rialto,CA,92376,US,,34.1344,-117.37003,,,
San Bernardino (5th Street),26,795 W. 5th Street,,San Bernardino,CA,92410,US,,34.10794,-117.30054,,,
Rancho Cucamonga (Foothill & I-15),84,12599 Foothill Blvd.,,Rancho Cucamonga,CA,91739,US,,34.10585,-117.53026,,,
Rancho Cucamonga (Foothill & Vineyard),23,8955 Foothill Blvd.,,Rancho Cucamonga,CA,91730,US,,34.10625,-117.60964,,,
Fontana,22,9855 Sierra Ave.,,Fontana,CA,92335,US,,34.07498,-117.43523,,,
Highland,272,28009 Greenspot Rd.,,Highland,CA,92346,US,,34.10791,-117.19374,,,
Westlake Village,297,30780 Russell Ranch Rd.,,Westlake Village,CA,91361,US,,34.14764,-118.79711,,,
Newbury Park,58,1550 Newbury Rd.,,Newbury Park,CA,91320,US,,34.18371,-118.91459,,,
Canoga Park,206,6841 Topanga Canyon Blvd.,,Canoga Park,CA,91303,US,,34.19492,-118.60635,,,
Simi Valley,78,2600 Stearns St.,,Simi Valley,CA,93063,US,,34.28305,-118.69094,,,
Moorpark,179,856 New Los Angeles Ave.,,Moorpark,CA,93021,US,,34.28022,-118.86544,,,
